C,rho,l0,lmax,J,n,seed,steps,seconds,valid,unique,valid_novel,viol,novel_rate,qed,run_name
0.0100503,0.6,2.0,12.0,4,4,8,64,1090,68,68,61,0.1029411764705882,0.8970588235294118,0.4672323512709896,adual_iltd_C0.0100503_rho0.6_l02.0_lmax12.0_J4_n4_seed8_steps64
0.0100503,0.6,2.0,12.0,4,4,7,64,1101,80,80,75,0.0625,0.9375,0.48242688798491684,adual_iltd_C0.0100503_rho0.6_l02.0_lmax12.0_J4_n4_seed7_steps64
0.0100503,0.6,2.0,12.0,4,4,6,64,1106,77,77,74,0.038961038961038974,0.961038961038961,0.4716836185820277,adual_iltd_C0.0100503_rho0.6_l02.0_lmax12.0_J4_n4_seed6_steps64
0.0100503,0.6,2.0,12.0,2,4,1,64,849,106,106,97,0.08490566037735847,0.9150943396226415,0.476831638409901,adual_iltd_C0.0100503_rho0.6_l02.0_lmax12.0_J2_n4_seed1_steps64
0.0100503,0.6,2.0,12.0,3,4,1,64,975,88,88,84,0.045454545454545414,0.9545454545454546,0.4728441979241743,adual_iltd_C0.0100503_rho0.6_l02.0_lmax12.0_J3_n4_seed1_steps64
0.1053605,0.6,2.0,12.0,4,4,1,64,1080,83,83,80,0.03614457831325302,0.963855421686747,0.48835293530564705,adual_iltd_C0.1053605_rho0.6_l02.0_lmax12.0_J4_n4_seed1_steps64
0.0512933,0.6,2.0,12.0,4,4,1,64,1088,86,86,81,0.05813953488372092,0.9418604651162791,0.4989390400991177,adual_iltd_C0.0512933_rho0.6_l02.0_lmax12.0_J4_n4_seed1_steps64
0.0100503,0.6,4.0,12.0,2,4,1,64,834,23,23,23,0.0,1.0,0.4895237104364077,adual_iltd_C0.0100503_rho0.6_l04.0_lmax12.0_J2_n4_seed1_steps64
0.0100503,1.0,2.0,12.0,2,4,1,64,838,101,101,96,0.04950495049504955,0.9504950495049505,0.4684776851034889,adual_iltd_C0.0100503_rho1.0_l02.0_lmax12.0_J2_n4_seed1_steps64
0.0100503,0.6,3.5,12.0,2,4,1,64,843,47,47,47,0.0,1.0,0.4781951111921367,adual_iltd_C0.0100503_rho0.6_l03.5_lmax12.0_J2_n4_seed1_steps64
0.0100503,0.8,2.0,12.0,2,4,1,64,845,104,104,98,0.05769230769230771,0.9423076923076923,0.47882366313733427,adual_iltd_C0.0100503_rho0.8_l02.0_lmax12.0_J2_n4_seed1_steps64
