C,rho,l0,lmax,seed,steps,seconds,valid,unique,valid_novel,viol,novel_rate,qed,run_name
0.01005,0.4,1.5,10.0,1,128,854,142,142,128,0.09859154929577463,0.9014084507042254,0.4612319168011356,adual_sftd_C0.01005_rho0.4_l01.5_lmax10.0_seed1_steps128
0.01005,0.3,2.5,8.0,1,128,858,142,142,134,0.05633802816901412,0.9436619718309859,0.46853870409017884,adual_sftd_C0.01005_rho0.3_l02.5_lmax8.0_seed1_steps128
0.01005,0.5,2.0,15.0,1,128,848,131,131,119,0.09160305343511455,0.9083969465648855,0.46602983207600346,adual_sftd_C0.01005_rho0.5_l02.0_lmax15.0_seed1_steps128
0.01005,0.4,2.0,12.0,1,128,859,130,130,120,0.07692307692307687,0.9230769230769231,0.45943840812540976,adual_sftd_C0.01005_rho0.4_l02.0_lmax12.0_seed1_steps128
0.01005,0.6,2.5,15.0,1,128,852,134,134,126,0.05970149253731338,0.9402985074626866,0.47404891434630886,adual_sftd_C0.01005_rho0.6_l02.5_lmax15.0_seed1_steps128
0.01005,0.6,1.5,12.0,1,128,847,128,128,118,0.078125,0.921875,0.46499300879219385,adual_sftd_C0.01005_rho0.6_l01.5_lmax12.0_seed1_steps128
0.01005,0.3,3.5,8.0,1,128,846,90,90,86,0.0444444444444444,0.9555555555555556,0.4706909516565178,adual_sftd_C0.01005_rho0.3_l03.5_lmax8.0_seed1_steps128
0.01005,0.3,3.0,10.0,1,128,853,100,100,95,0.050000000000000044,0.95,0.46982511347563416,adual_sftd_C0.01005_rho0.3_l03.0_lmax10.0_seed1_steps128
0.01005,0.3,4.0,8.0,1,128,826,63,63,62,0.015873015873015928,0.9841269841269841,0.47203779818479263,adual_sftd_C0.01005_rho0.3_l04.0_lmax8.0_seed1_steps128
0.01005,0.4,4.0,10.0,1,128,826,61,61,61,0.0,1.0,0.4717553663349154,adual_sftd_C0.01005_rho0.4_l04.0_lmax10.0_seed1_steps128
0.01005,0.2,5.0,7.0,1,128,779,23,23,23,0.0,1.0,0.49995873027429877,adual_sftd_C0.01005_rho0.2_l05.0_lmax7.0_seed1_steps128
0.01005,0.2,4.5,8.0,1,128,808,31,31,31,0.0,1.0,0.5158935879524172,adual_sftd_C0.01005_rho0.2_l04.5_lmax8.0_seed1_steps128
0.01005,0.4,4.0,10.0,2,128,830,76,76,74,0.02631578947368418,0.9736842105263158,0.4845174024657303,adual_sftd_C0.01005_rho0.4_l04.0_lmax10.0_seed2_steps128
0.01005,0.5,3.75,12.0,1,128,835,78,78,76,0.02564102564102566,0.9743589743589743,0.4782721341004152,adual_sftd_C0.01005_rho0.5_l03.75_lmax12.0_seed1_steps128
0.01005,0.4,4.0,10.0,3,128,828,53,53,51,0.037735849056603765,0.9622641509433962,0.49924652349997317,adual_sftd_C0.01005_rho0.4_l04.0_lmax10.0_seed3_steps128
0.01005,0.4,3.75,10.0,1,128,830,78,78,77,0.012820512820512775,0.9871794871794872,0.47482172699515995,adual_sftd_C0.01005_rho0.4_l03.75_lmax10.0_seed1_steps128
0.01005,0.5,3.75,12.0,2,128,833,82,82,80,0.024390243902439046,0.975609756097561,0.4817815023460472,adual_sftd_C0.01005_rho0.5_l03.75_lmax12.0_seed2_steps128
0.01005,0.5,3.85,12.0,1,128,828,74,74,74,0.0,1.0,0.4756443517681027,adual_sftd_C0.01005_rho0.5_l03.85_lmax12.0_seed1_steps128
0.005,0.5,3.75,12.0,1,128,836,78,78,77,0.012820512820512775,0.9871794871794872,0.4782508131953105,adual_sftd_C0.005_rho0.5_l03.75_lmax12.0_seed1_steps128
0.005,0.5,3.75,12.0,2,128,841,83,83,81,0.02409638554216864,0.9759036144578314,0.4810318947332179,adual_sftd_C0.005_rho0.5_l03.75_lmax12.0_seed2_steps128
0.002,0.5,3.75,12.0,2,128,827,84,84,81,0.0357142857142857,0.9642857142857143,0.4810318947332179,adual_sftd_C0.002_rho0.5_l03.75_lmax12.0_seed2_steps128
0.002,0.5,3.75,12.0,1,128,834,78,78,77,0.012820512820512775,0.9871794871794872,0.4782508131953105,adual_sftd_C0.002_rho0.5_l03.75_lmax12.0_seed1_steps128
0.005,0.6,3.6,14.0,2,128,837,84,84,82,0.023809523809523836,0.9761904761904762,0.4771984309853563,adual_sftd_C0.005_rho0.6_l03.6_lmax14.0_seed2_steps128
0.005,0.6,3.6,14.0,1,128,841,79,79,77,0.025316455696202556,0.9746835443037974,0.46991228954865,adual_sftd_C0.005_rho0.6_l03.6_lmax14.0_seed1_steps128
0.01005,0.5,3.85,12.0,2,128,835,85,85,82,0.03529411764705881,0.9647058823529412,0.4843250348264367,adual_sftd_C0.01005_rho0.5_l03.85_lmax12.0_seed2_steps128
0.005,0.55,3.8,13.0,2,128,835,87,87,85,0.02298850574712641,0.9770114942528736,0.4840205322411991,adual_sftd_C0.005_rho0.55_l03.8_lmax13.0_seed2_steps128
0.005,0.55,3.8,13.0,3,128,832,63,63,58,0.07936507936507942,0.9206349206349206,0.4972637458011021,adual_sftd_C0.005_rho0.55_l03.8_lmax13.0_seed3_steps128
0.01005,0.5,3.85,12.0,3,128,834,57,57,55,0.03508771929824561,0.9649122807017544,0.4931069312269686,adual_sftd_C0.01005_rho0.5_l03.85_lmax12.0_seed3_steps128
0.01005,0.5,3.85,12.0,4,128,831,69,69,66,0.04347826086956519,0.9565217391304348,0.46885562927647517,adual_sftd_C0.01005_rho0.5_l03.85_lmax12.0_seed4_steps128
0.005,0.55,3.8,13.0,4,128,834,68,68,65,0.044117647058823484,0.9558823529411765,0.47247554675512987,adual_sftd_C0.005_rho0.55_l03.8_lmax13.0_seed4_steps128
0.005,0.55,3.82,13.0,5,128,832,61,61,60,0.016393442622950838,0.9836065573770492,0.4963416494210874,adual_sftd_C0.005_rho0.55_l03.82_lmax13.0_seed5_steps128
0.005,0.55,3.82,13.0,8,128,833,95,95,90,0.052631578947368474,0.9473684210526315,0.49150080050287703,adual_sftd_C0.005_rho0.55_l03.82_lmax13.0_seed8_steps128
0.005,0.55,3.82,13.0,9,128,826,71,71,69,0.028169014084507005,0.971830985915493,0.4876184597821768,adual_sftd_C0.005_rho0.55_l03.82_lmax13.0_seed9_steps128
0.005,0.55,3.82,13.0,6,128,835,54,54,52,0.03703703703703709,0.9629629629629629,0.4814645502150307,adual_sftd_C0.005_rho0.55_l03.82_lmax13.0_seed6_steps128
0.005,0.55,3.82,13.0,10,128,825,58,58,56,0.03448275862068961,0.9655172413793104,0.4815946254987172,adual_sftd_C0.005_rho0.55_l03.82_lmax13.0_seed10_steps128
0.005,0.55,3.82,13.0,7,128,827,72,72,72,0.0,1.0,0.4836400527569935,adual_sftd_C0.005_rho0.55_l03.82_lmax13.0_seed7_steps128
