C,rho,l0,lmax,J,n,seed,steps,seconds,valid,unique,valid_novel,viol,novel_rate,qed,run_name
0.0100503,0.8,2.0,12.0,2,4,1,32,725,67,67,64,0.04477611940298509,0.9552238805970149,0.47729367671613054,adual_iltd_C0.0100503_rho0.8_l02.0_lmax12.0_J2_n4_seed1_steps32
0.0100503,0.6,2.0,12.0,4,4,1,32,797,58,58,55,0.051724137931034475,0.9482758620689655,0.4807979423378981,adual_iltd_C0.0100503_rho0.6_l02.0_lmax12.0_J4_n4_seed1_steps32
0.0100503,0.6,2.25,12.0,2,4,1,32,712,65,65,62,0.0461538461538461,0.9538461538461539,0.493532926891369,adual_iltd_C0.0100503_rho0.6_l02.25_lmax12.0_J2_n4_seed1_steps32
0.0100503,0.6,2.25,12.0,4,4,1,32,792,56,56,54,0.0357142857142857,0.9642857142857143,0.49067152403284775,adual_iltd_C0.0100503_rho0.6_l02.25_lmax12.0_J4_n4_seed1_steps32
0.0100503,0.6,1.8,12.0,4,2,1,32,646,61,61,56,0.08196721311475408,0.9180327868852459,0.4826889426863458,adual_iltd_C0.0100503_rho0.6_l01.8_lmax12.0_J4_n2_seed1_steps32
0.0050125,0.6,2.0,12.0,4,4,1,32,888,59,59,55,0.06779661016949157,0.9322033898305084,0.4795205059117324,adual_iltd_C0.0050125_rho0.6_l02.0_lmax12.0_J4_n4_seed1_steps32
0.0100503,0.6,2.5,12.0,2,4,1,32,639,52,52,48,0.07692307692307687,0.9230769230769231,0.5061414882052232,adual_iltd_C0.0100503_rho0.6_l02.5_lmax12.0_J2_n4_seed1_steps32
0.0100503,0.6,2.5,12.0,2,4,2,32,710,54,54,52,0.03703703703703709,0.9629629629629629,0.46993090596892395,adual_iltd_C0.0100503_rho0.6_l02.5_lmax12.0_J2_n4_seed2_steps32
0.0100503,0.6,2.75,12.0,2,4,1,32,644,38,38,38,0.0,1.0,0.515380763390971,adual_iltd_C0.0100503_rho0.6_l02.75_lmax12.0_J2_n4_seed1_steps32
0.0100503,0.6,2.5,12.0,2,4,3,32,728,46,46,44,0.04347826086956519,0.9565217391304348,0.48252149729813765,adual_iltd_C0.0100503_rho0.6_l02.5_lmax12.0_J2_n4_seed3_steps32
0.0100503,0.6,3.0,12.0,2,4,1,32,645,29,29,29,0.0,1.0,0.5057483721444574,adual_iltd_C0.0100503_rho0.6_l03.0_lmax12.0_J2_n4_seed1_steps32
0.0100503,0.8,2.5,12.0,2,4,1,32,731,53,53,50,0.05660377358490565,0.9433962264150944,0.5033642455715597,adual_iltd_C0.0100503_rho0.8_l02.5_lmax12.0_J2_n4_seed1_steps32
0.0100503,0.8,2.0,12.0,2,4,2,32,630,61,61,58,0.049180327868852514,0.9508196721311475,0.45929754082856716,adual_iltd_C0.0100503_rho0.8_l02.0_lmax12.0_J2_n4_seed2_steps32
0.0100503,0.6,2.25,12.0,2,4,4,32,704,66,66,65,0.015151515151515138,0.9848484848484849,0.4746435986500678,adual_iltd_C0.0100503_rho0.6_l02.25_lmax12.0_J2_n4_seed4_steps32
0.0100503,0.8,2.0,12.0,2,4,3,32,639,52,52,50,0.038461538461538436,0.9615384615384616,0.46608181240621044,adual_iltd_C0.0100503_rho0.8_l02.0_lmax12.0_J2_n4_seed3_steps32
0.0100503,0.6,2.25,12.0,2,4,5,32,715,50,50,44,0.12,0.88,0.47950863762963586,adual_iltd_C0.0100503_rho0.6_l02.25_lmax12.0_J2_n4_seed5_steps32
0.0100503,0.8,2.0,12.0,2,4,4,32,631,75,75,74,0.013333333333333308,0.9866666666666667,0.47282866456972833,adual_iltd_C0.0100503_rho0.8_l02.0_lmax12.0_J2_n4_seed4_steps32
0.0100503,0.8,2.1,12.0,2,8,1,32,879,61,61,58,0.049180327868852514,0.9508196721311475,0.49456907610559403,adual_iltd_C0.0100503_rho0.8_l02.1_lmax12.0_J2_n8_seed1_steps32
0.0100503,0.8,2.1,12.0,2,4,4,32,637,68,68,67,0.014705882352941124,0.9852941176470589,0.4755867595047768,adual_iltd_C0.0100503_rho0.8_l02.1_lmax12.0_J2_n4_seed4_steps32
0.0100503,0.8,2.15,12.0,2,4,4,32,710,68,68,67,0.014705882352941124,0.9852941176470589,0.4768788713295293,adual_iltd_C0.0100503_rho0.8_l02.15_lmax12.0_J2_n4_seed4_steps32
0.0100503,0.8,2.2,12.0,2,4,4,32,637,64,64,63,0.015625,0.984375,0.4754888026569666,adual_iltd_C0.0100503_rho0.8_l02.2_lmax12.0_J2_n4_seed4_steps32
0.0100503,0.6,2.4,12.0,2,4,4,32,711,58,58,57,0.017241379310344862,0.9827586206896551,0.47120564848001006,adual_iltd_C0.0100503_rho0.6_l02.4_lmax12.0_J2_n4_seed4_steps32
0.0100503,0.8,2.3,12.0,2,4,4,32,632,58,58,57,0.017241379310344862,0.9827586206896551,0.47473573197005237,adual_iltd_C0.0100503_rho0.8_l02.3_lmax12.0_J2_n4_seed4_steps32
0.0100503,0.6,2.5,12.0,2,4,4,32,721,56,56,55,0.017857142857142905,0.9821428571428571,0.46745976494609526,adual_iltd_C0.0100503_rho0.6_l02.5_lmax12.0_J2_n4_seed4_steps32
0.0010005,0.8,2.1,12.0,2,4,4,32,632,71,71,70,0.014084507042253502,0.9859154929577465,0.4805683348024597,adual_iltd_C0.0010005_rho0.8_l02.1_lmax12.0_J2_n4_seed4_steps32
