C,rho,l0,lmax,J,n,seed,steps,seconds,valid,unique,valid_novel,viol,novel_rate,qed,run_name
0.01005,0.6,3.0,12.0,4,4,1,128,1844,81,81,79,0.024691358024691357,0.9753086419753086,0.4993393489486365,adual_iltd_C0.01005_rho0.6_l03.0_lmax12.0_J4_n4_seed1_steps128
0.01005,0.6,2.0,12.0,4,4,1,128,1871,84,84,82,0.023809523809523836,0.9761904761904762,0.4890574043441764,adual_iltd_C0.01005_rho0.6_l02.0_lmax12.0_J4_n4_seed1_steps128
0.01005,0.5,3.5,12.0,4,4,1,128,1877,75,75,74,0.013333333333333308,0.9866666666666667,0.4998617479162617,adual_iltd_C0.01005_rho0.5_l03.5_lmax12.0_J4_n4_seed1_steps128
0.01005,0.6,2.5,12.0,4,4,1,128,1919,89,89,86,0.0337078651685393,0.9662921348314607,0.49383180837166024,adual_iltd_C0.01005_rho0.6_l02.5_lmax12.0_J4_n4_seed1_steps128
0.01005,0.5,3.0,12.0,4,4,1,128,1852,83,83,80,0.03614457831325302,0.963855421686747,0.4966593219303809,adual_iltd_C0.01005_rho0.5_l03.0_lmax12.0_J4_n4_seed1_steps128
0.005,0.6,3.0,14.0,6,4,1,128,2329,58,58,58,0.0,1.0,0.48578299324110186,adual_iltd_C0.005_rho0.6_l03.0_lmax14.0_J6_n4_seed1_steps128
0.01005,0.6,2.0,12.0,6,4,1,128,2338,87,87,86,0.011494252873563204,0.9885057471264368,0.485026245843562,adual_iltd_C0.01005_rho0.6_l02.0_lmax12.0_J6_n4_seed1_steps128
0.01005,0.6,2.5,12.0,6,4,1,128,2346,75,75,74,0.013333333333333308,0.9866666666666667,0.4810813923022954,adual_iltd_C0.01005_rho0.6_l02.5_lmax12.0_J6_n4_seed1_steps128
0.01005,0.6,2.5,12.0,5,4,1,128,2088,85,85,82,0.03529411764705881,0.9647058823529412,0.4768515832848446,adual_iltd_C0.01005_rho0.6_l02.5_lmax12.0_J5_n4_seed1_steps128
0.01005,0.7,2.5,14.0,6,4,1,128,2324,60,60,59,0.01666666666666672,0.9833333333333333,0.48680232442862337,adual_iltd_C0.01005_rho0.7_l02.5_lmax14.0_J6_n4_seed1_steps128
0.01005,0.6,2.8,12.0,5,4,1,128,2092,84,84,83,0.011904761904761862,0.9880952380952381,0.48128687823606175,adual_iltd_C0.01005_rho0.6_l02.8_lmax12.0_J5_n4_seed1_steps128
0.005,0.6,2.5,12.0,6,4,1,128,2324,68,68,67,0.014705882352941124,0.9852941176470589,0.48138945994451454,adual_iltd_C0.005_rho0.6_l02.5_lmax12.0_J6_n4_seed1_steps128
0.01005,0.6,2.0,12.0,6,4,2,128,2321,81,81,78,0.03703703703703709,0.9629629629629629,0.4902321174879336,adual_iltd_C0.01005_rho0.6_l02.0_lmax12.0_J6_n4_seed2_steps128
0.01005,0.6,2.0,12.0,8,4,1,128,2832,74,74,71,0.04054054054054057,0.9594594594594594,0.5041280402834927,adual_iltd_C0.01005_rho0.6_l02.0_lmax12.0_J8_n4_seed1_steps128
0.01005,0.6,2.0,12.0,6,4,3,128,2323,63,63,62,0.015873015873015928,0.9841269841269841,0.48730665738134915,adual_iltd_C0.01005_rho0.6_l02.0_lmax12.0_J6_n4_seed3_steps128
0.01005,0.6,2.2,12.0,6,4,1,128,2323,79,79,78,0.012658227848101222,0.9873417721518988,0.4802211770855646,adual_iltd_C0.01005_rho0.6_l02.2_lmax12.0_J6_n4_seed1_steps128
0.01005,0.6,2.8,12.0,6,4,1,128,2317,65,65,64,0.01538461538461533,0.9846153846153847,0.4776511394785097,adual_iltd_C0.01005_rho0.6_l02.8_lmax12.0_J6_n4_seed1_steps128
0.005,0.6,2.0,12.0,6,4,1,128,2341,84,84,83,0.011904761904761862,0.9880952380952381,0.4852622089450065,adual_iltd_C0.005_rho0.6_l02.0_lmax12.0_J6_n4_seed1_steps128
0.01005,0.6,2.0,12.0,6,4,4,128,2342,91,91,86,0.05494505494505497,0.945054945054945,0.4862264385696745,adual_iltd_C0.01005_rho0.6_l02.0_lmax12.0_J6_n4_seed4_steps128
0.01005,0.6,2.0,12.0,6,8,1,128,3767,73,73,72,0.013698630136986356,0.9863013698630136,0.48503164930020465,adual_iltd_C0.01005_rho0.6_l02.0_lmax12.0_J6_n8_seed1_steps128
0.01005,0.6,2.0,12.0,6,4,5,128,2337,82,82,78,0.04878048780487809,0.9512195121951219,0.4942852450601454,adual_iltd_C0.01005_rho0.6_l02.0_lmax12.0_J6_n4_seed5_steps128
0.01005,0.6,2.0,12.0,6,4,6,128,2324,85,85,84,0.0117647058823529,0.9882352941176471,0.49313516258842194,adual_iltd_C0.01005_rho0.6_l02.0_lmax12.0_J6_n4_seed6_steps128
0.005,0.6,2.0,12.0,6,8,1,128,3773,73,73,71,0.0273972602739726,0.9726027397260274,0.48253415678275,adual_iltd_C0.005_rho0.6_l02.0_lmax12.0_J6_n8_seed1_steps128
0.01005,0.6,2.0,12.0,6,4,7,128,2331,85,85,80,0.05882352941176472,0.9411764705882353,0.48437479582095416,adual_iltd_C0.01005_rho0.6_l02.0_lmax12.0_J6_n4_seed7_steps128
0.01005,0.6,2.0,20.0,6,4,1,128,2344,87,87,86,0.011494252873563204,0.9885057471264368,0.48505987977770765,adual_iltd_C0.01005_rho0.6_l02.0_lmax20.0_J6_n4_seed1_steps128
0.01005,0.6,2.0,12.0,6,4,8,128,2357,79,79,76,0.03797468354430378,0.9620253164556962,0.48626058703321956,adual_iltd_C0.01005_rho0.6_l02.0_lmax12.0_J6_n4_seed8_steps128
0.01005,0.6,2.0,12.0,6,4,9,128,2317,76,76,75,0.013157894736842146,0.9868421052631579,0.4828470843880512,adual_iltd_C0.01005_rho0.6_l02.0_lmax12.0_J6_n4_seed9_steps128
0.01005,0.8,2.0,16.0,6,4,1,128,2337,67,67,67,0.0,1.0,0.4796264921977535,adual_iltd_C0.01005_rho0.8_l02.0_lmax16.0_J6_n4_seed1_steps128
0.01005,0.5,2.0,16.0,6,4,1,128,2313,85,85,81,0.04705882352941182,0.9529411764705882,0.4844679881835541,adual_iltd_C0.01005_rho0.5_l02.0_lmax16.0_J6_n4_seed1_steps128
0.002,0.6,2.0,16.0,6,4,1,128,2332,82,82,80,0.024390243902439046,0.975609756097561,0.48480159648763593,adual_iltd_C0.002_rho0.6_l02.0_lmax16.0_J6_n4_seed1_steps128
