C,rho,l0,lmax,seed,steps,seconds,valid,unique,valid_novel,viol,novel_rate,qed,run_name
0.10536,0.3,1.0,8.0,1,64,589,158,158,134,0.15189873417721522,0.8481012658227848,0.45761387443960494,adual_sftd_C0.10536_rho0.3_l01.0_lmax8.0_seed1_steps64
0.05129,0.4,2.0,10.0,1,64,588,118,118,106,0.10169491525423724,0.8983050847457628,0.47032409737814207,adual_sftd_C0.05129_rho0.4_l02.0_lmax10.0_seed1_steps64
0.01005,0.5,3.0,12.0,1,64,582,74,74,69,0.06756756756756754,0.9324324324324325,0.47495570630577594,adual_sftd_C0.01005_rho0.5_l03.0_lmax12.0_seed1_steps64
0.01005,0.3,2.0,10.0,1,64,586,124,124,113,0.08870967741935487,0.9112903225806451,0.46810478651268456,adual_sftd_C0.01005_rho0.3_l02.0_lmax10.0_seed1_steps64
0.0010005,0.5,3.0,10.0,1,64,582,74,74,69,0.06756756756756754,0.9324324324324325,0.47495570630577594,adual_sftd_C0.0010005_rho0.5_l03.0_lmax10.0_seed1_steps64
0.0010005,0.3,2.0,10.0,1,64,588,123,123,112,0.08943089430894313,0.9105691056910569,0.46628725926297376,adual_sftd_C0.0010005_rho0.3_l02.0_lmax10.0_seed1_steps64
0.0010005,0.5,4.0,12.0,1,64,563,24,24,24,0.0,1.0,0.4904460570913147,adual_sftd_C0.0010005_rho0.5_l04.0_lmax12.0_seed1_steps64
0.0050125,0.4,3.0,10.0,1,64,576,77,77,72,0.06493506493506496,0.935064935064935,0.47150540667531693,adual_sftd_C0.0050125_rho0.4_l03.0_lmax10.0_seed1_steps64
0.0010005,2.0,2.0,12.0,1,64,578,90,90,81,0.09999999999999998,0.9,0.46668642781963177,adual_sftd_C0.0010005_rho2.0_l02.0_lmax12.0_seed1_steps64
0.0010005,1.0,2.0,10.0,1,64,586,106,106,96,0.09433962264150941,0.9056603773584906,0.4707216696931186,adual_sftd_C0.0010005_rho1.0_l02.0_lmax10.0_seed1_steps64
0.0050125,1.5,2.0,10.0,1,64,578,97,97,89,0.08247422680412375,0.9175257731958762,0.4690559595725701,adual_sftd_C0.0050125_rho1.5_l02.0_lmax10.0_seed1_steps64
0.0010005,1.0,3.0,12.0,1,64,576,67,67,63,0.05970149253731338,0.9402985074626866,0.46213871493032943,adual_sftd_C0.0010005_rho1.0_l03.0_lmax12.0_seed1_steps64
0.0010005,0.2,3.5,6.0,1,64,575,42,42,42,0.0,1.0,0.5098055457840139,adual_sftd_C0.0010005_rho0.2_l03.5_lmax6.0_seed1_steps64
0.0010005,0.2,3.25,6.0,1,64,578,53,53,53,0.0,1.0,0.4814169720637515,adual_sftd_C0.0010005_rho0.2_l03.25_lmax6.0_seed1_steps64
0.0010005,0.2,3.75,6.0,1,64,568,33,33,33,0.0,1.0,0.49565876460553626,adual_sftd_C0.0010005_rho0.2_l03.75_lmax6.0_seed1_steps64
0.0010005,0.4,3.5,7.0,1,64,570,42,42,42,0.0,1.0,0.5098055457840139,adual_sftd_C0.0010005_rho0.4_l03.5_lmax7.0_seed1_steps64
0.0010005,0.2,3.05,6.0,1,64,578,77,77,72,0.06493506493506496,0.935064935064935,0.4781491289620096,adual_sftd_C0.0010005_rho0.2_l03.05_lmax6.0_seed1_steps64
0.0010005,0.2,3.1,6.0,1,64,577,73,73,68,0.06849315068493156,0.9315068493150684,0.47990454901001933,adual_sftd_C0.0010005_rho0.2_l03.1_lmax6.0_seed1_steps64
0.0010005,0.2,3.2,6.0,1,64,579,62,62,61,0.016129032258064502,0.9838709677419355,0.47883785745008584,adual_sftd_C0.0010005_rho0.2_l03.2_lmax6.0_seed1_steps64
0.0010005,0.2,3.15,6.0,1,64,581,67,67,63,0.05970149253731338,0.9402985074626866,0.479295227235565,adual_sftd_C0.0010005_rho0.2_l03.15_lmax6.0_seed1_steps64
0.0010005,0.2,3.5,6.0,2,64,578,42,42,41,0.023809523809523836,0.9761904761904762,0.4954125016134608,adual_sftd_C0.0010005_rho0.2_l03.5_lmax6.0_seed2_steps64
0.0010005,0.2,3.25,6.0,2,64,582,63,63,60,0.04761904761904767,0.9523809523809523,0.494223456294865,adual_sftd_C0.0010005_rho0.2_l03.25_lmax6.0_seed2_steps64
0.0010005,0.2,3.5,6.0,3,64,576,45,45,39,0.1333333333333333,0.8666666666666667,0.46774030682011714,adual_sftd_C0.0010005_rho0.2_l03.5_lmax6.0_seed3_steps64
0.0010005,0.2,3.25,6.0,3,64,577,56,56,52,0.0714285714285714,0.9285714285714286,0.4696502000467036,adual_sftd_C0.0010005_rho0.2_l03.25_lmax6.0_seed3_steps64
0.0010005,0.2,3.2,6.0,2,64,581,62,62,59,0.048387096774193505,0.9516129032258065,0.4896278869515448,adual_sftd_C0.0010005_rho0.2_l03.2_lmax6.0_seed2_steps64
0.0010005,0.2,3.15,6.0,2,64,579,64,64,61,0.046875,0.953125,0.48673847515052776,adual_sftd_C0.0010005_rho0.2_l03.15_lmax6.0_seed2_steps64
0.0010005,0.2,3.2,6.0,3,64,579,60,60,56,0.06666666666666665,0.9333333333333333,0.472772079803694,adual_sftd_C0.0010005_rho0.2_l03.2_lmax6.0_seed3_steps64
0.0010005,0.2,3.15,6.0,3,64,582,63,63,59,0.06349206349206349,0.9365079365079365,0.4677288445464068,adual_sftd_C0.0010005_rho0.2_l03.15_lmax6.0_seed3_steps64
0.0010005,0.2,3.2,6.0,4,64,577,80,80,78,0.025000000000000022,0.975,0.46427488050188653,adual_sftd_C0.0010005_rho0.2_l03.2_lmax6.0_seed4_steps64
0.0010005,0.2,3.15,6.0,4,64,580,79,79,76,0.03797468354430378,0.9620253164556962,0.46096035914619204,adual_sftd_C0.0010005_rho0.2_l03.15_lmax6.0_seed4_steps64
0.0010005,0.2,3.35,6.0,4,64,576,59,59,57,0.03389830508474578,0.9661016949152542,0.47194408224591194,adual_sftd_C0.0010005_rho0.2_l03.35_lmax6.0_seed4_steps64
0.0010005,0.2,3.4,6.0,5,64,574,48,48,47,0.02083333333333337,0.9791666666666666,0.5007465043308368,adual_sftd_C0.0010005_rho0.2_l03.4_lmax6.0_seed5_steps64
0.0010005,0.2,3.45,6.0,4,64,578,56,56,55,0.017857142857142905,0.9821428571428571,0.47800811097440987,adual_sftd_C0.0010005_rho0.2_l03.45_lmax6.0_seed4_steps64
0.0010005,0.2,3.4,6.0,6,64,585,49,49,45,0.08163265306122447,0.9183673469387755,0.4669545586460203,adual_sftd_C0.0010005_rho0.2_l03.4_lmax6.0_seed6_steps64
0.0010005,0.2,3.55,6.0,4,64,575,49,49,48,0.020408163265306145,0.9795918367346939,0.4840827397757505,adual_sftd_C0.0010005_rho0.2_l03.55_lmax6.0_seed4_steps64
0.0010005,0.2,3.4,6.0,7,64,573,57,57,55,0.03508771929824561,0.9649122807017544,0.46927157875828845,adual_sftd_C0.0010005_rho0.2_l03.4_lmax6.0_seed7_steps64
